direccion,Barrio y/o Localidad,Provincia,Batch de geocoding
1810 0,BAHIA BLANCA,BUENOS AIRES,0
1810 300,BAHIA BLANCA,BUENOS AIRES,0
1810 600,BAHIA BLANCA,BUENOS AIRES,0
1810 900,BAHIA BLANCA,BUENOS AIRES,0
1810 1200,BAHIA BLANCA,BUENOS AIRES,0
1810 1500,BAHIA BLANCA,BUENOS AIRES,0
1810 1800,BAHIA BLANCA,BUENOS AIRES,0
1810 2100,BAHIA BLANCA,BUENOS AIRES,0
1810 2400,BAHIA BLANCA,BUENOS AIRES,0
1810 2700,BAHIA BLANCA,BUENOS AIRES,0
1810 3000,BAHIA BLANCA,BUENOS AIRES,0
1810 3300,BAHIA BLANCA,BUENOS AIRES,0
1810 3600,BAHIA BLANCA,BUENOS AIRES,0
1810 3900,BAHIA BLANCA,BUENOS AIRES,0
1810 4200,BAHIA BLANCA,BUENOS AIRES,0
1810 4500,BAHIA BLANCA,BUENOS AIRES,0
1810 4800,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 0,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 300,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 600,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 900,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 1200,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 1500,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 1800,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 2100,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 2400,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 2700,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 3000,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 3300,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 3600,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 3900,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 4200,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 4500,BAHIA BLANCA,BUENOS AIRES,0
1 DE MARZO 4800,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 0,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 300,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 600,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 900,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 1200,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 1500,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 1800,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 2100,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 2400,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 2700,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 3000,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 3300,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 3600,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 3900,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 4200,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 4500,BAHIA BLANCA,BUENOS AIRES,0
1 DE MAYO 4800,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 0,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 300,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 600,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 900,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 1200,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 1500,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 1800,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 2100,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 2400,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 2700,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 3000,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 3300,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 3600,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 3900,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 4200,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 4500,BAHIA BLANCA,BUENOS AIRES,0
11 DE ABRIL 4800,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 0,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 300,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 600,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 900,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 1200,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 1500,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 1800,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 2100,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 2400,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 2700,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 3000,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 3300,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 3600,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 3900,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 4200,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 4500,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 4800,BAHIA BLANCA,BUENOS AIRES,0
12 DE OCTUBRE 0,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 300,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 600,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 900,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 1200,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 1500,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 1800,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 2100,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 2400,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 2700,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3000,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3300,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3600,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3900,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 4200,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 4500,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 4800,Gral. Daniel Cerri,BUENOS AIRES,0
14 DE JULIO 0,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 300,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 600,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 900,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 1200,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 1500,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 1800,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 2100,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 2400,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 2700,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3000,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3300,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3600,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3900,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 4200,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 4500,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 4800,BAHIA BLANCA,BUENOS AIRES,0
15 DE JULIO 0,Cabildo,BUENOS AIRES,0
15 DE JULIO 300,Cabildo,BUENOS AIRES,0
15 DE JULIO 600,Cabildo,BUENOS AIRES,0
15 DE JULIO 900,Cabildo,BUENOS AIRES,0
15 DE JULIO 1200,Cabildo,BUENOS AIRES,0
15 DE JULIO 1500,Cabildo,BUENOS AIRES,0
15 DE JULIO 1800,Cabildo,BUENOS AIRES,0
15 DE JULIO 2100,Cabildo,BUENOS AIRES,0
15 DE JULIO 2400,Cabildo,BUENOS AIRES,0
15 DE JULIO 2700,Cabildo,BUENOS AIRES,0
15 DE JULIO 3000,Cabildo,BUENOS AIRES,0
